Position,Name,Capacity (MW),Operational Units,Region,Country,Coordinates,Latitude,Longitude,Status,Construction ,Commission,Est. Project Cost,Developer,Operator,Owner,Turbine Manufacturer ,Notes,Contact,Position2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Butendiek,288,80,North Sea,Germany,54°54′0″N 07°45′00″E,55.019,7.774,Operational,2014,2015,€1.3bn,wpd Offshore GmbH,OWP Butendiek GmbH & Co KG,Siemenst Financial Services; Marguerite Fund; Industriens Pension; PKA A/S; wpd; CDC Infrastructure; ewz,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,DanTysk,288,80,North Sea,Germany,5°8′24″N 7°12′0″E,55.137,7.200,Operational,2012,2015,€1bn,Vattenfall; Stadtwerke München,DanTysk Offshore Wind GmbH,Vattenfall; Stadtwerke München,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Baltic 2,288,80,Stralsund,Germany,54°58′24″N 13°10′40″E,54.982,13.162,Operational,,2015,€1.25bn,EnBW,EnBW,EnBW; Macquarie Capital,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Meerwind Süd/Ost,288,80,North Sea,Germany,54°23′00″N 7°42′00″E,54.392,7.704,Operational,2012,2014,€1.2bn,"Meerwind Südwest GmbH (WindMW, Blackstone)",Meerwind Südwest GmbH,Blackstone; Windland Energieerzeugungs,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Sandbank,288,72,,Germany,"55°11'0""N, 6°51'0""E",55.199,6.852,Planned/Under Construction,,2017,,Vattenfall; Stadtwerke München,,Vattenfall; Stadtwerke München,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Kattegat,282,50,Falkenberg,Sweden,,56.828,12.343,Operational,,2013,,Favonius AB; Göteborg Energi AB,,Vattenfall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Lincs Offshore Wind Farm,270,75,North Sea,UK,53°11′N 00°29′E,53.191,0.491,Operational,2010,2013,£725m,RES,Centrica Renewable Energy,"Centrica Renewable Energy, Siemens Project Ventures, DONG Energy",Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Borkum Riffgrund West I,270,45,North Sea,Germany,,54.047,6.234,Planned/Under Construction,,N/A,€1.6bn,DONG Energy,,DONG Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Borkum Riffgrund West II,265,43,North Sea,Germany,,54.057,6.148,Planned/Under Construction,,N/A,,DONG Energy,,DONG Energy,Repower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Burbo Bank Extension,254,32,"Liverpool Bay, Wales",UK,53°29′N 03°10′W,53.483,-3.273,Planned/Under Construction,2014,2017,£800m,DONG Energy,SeaScape Energy ltd (DONG Energy),DONG Energy; Kirkbi A/S; PKA A/S,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Deutsche Bucht,252,42,,Germany,,54.305,5.799,Planned/Under Construction,,2019,,K2 Management,,Highland Group Holding Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Longyuan Rudong Intertidal,150,28,"Nantong, Jiangsu Province",China,,32.555,121.233,Operational,2011,2012,¥790m,"Jiangsu Longyuan Offshore Wind Power Co., Ltd","Jiangsu Longyuan Offshore Wind Power Co., Ltd",China Longyuan Power Group Corporation Limited,Siemens; Sinovel; various,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Humber Gateway,219,73,North Sea,UK,53°38′38″N 0°17′35″E,53.644,0.293,Operational,2013,2015,£736m,E.ON Climate & Renewables,Humber Wind Ltd,E.ON Climate & Renewables,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Northwind,216,72,Vlaanderen,Belgium,51°37′08″N 02°54′03″E,51.619,2.900,Operational,,2014,€850m,Northwind NV,Parkwind NV,Parkwind; Aspiravi Holding NV; Sumitomo Corporation,Vestas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Kaskasi,210,34,,,,54.437,7.779,Planned/Under Construction,2018,N/A,,RWE Innogy,,RWE Innogy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Westermost Rough,210,35,"North Sea, England",UK,53°48′0″N 0°9′0″E,53.805,0.149,Operational,2014,2015,£850m,DONG Energy,DONG Energy,DONG Energy; Green Investment Bank; Marubeni Corporation,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Delta Nordsee 1,210,35,North Sea,Germany,"54° 2′ 0″ N, 6° 45′ 30″ W",54.037,6.765,Planned/Under Construction,,N/A,,OWP Delta Nordsee GmbH,OWP Delta Nordsee GmbH,E.ON Climate & Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Horns Rev 2,209.3,91,North Sea,Denmark,55°36′00″N 7°35′24″E,55.600,7.582,Operational,,2009,€450m,DONG Energy,DONG Energy,DONG Energy,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Rodsand II,207,90,Lolland,Denmark,54°33′0″N 11°42′36″E,54.555,11.548,Operational,,2010,€300m,E.ON Climate & Renewables,E.ON Climate & Renewables,E.ON Climate & Renewables; SEAS-NVE Energy Group,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Jiangsu Rudong Offshore Wind Farm,202,,"Jiangsu, Nantong",China,,32.556,121.146,Planned/Under Construction,,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Hong Kong Offshore Wind Farm,201,,,Hong Kong,,22.274,114.415,Planned/Under Construction,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Rudong Offshore Demo Project,200,50,"Nantong, Jiangsu Province",China,"32°31'12""N, 121°13'41""E",32.520,121.288,Operational,,2015,¥2.9bn,"Jiangsu Longyuan Offshore Wind Power Co., Ltd","Jiangsu Longyuan Offshore Wind Power Co., Ltd",China Longyuan Power Group Corporation Limited,Siemens; Envision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Lynn & Inner Dowsing Offshore Farms,194,54,Lincolnshire,UK,53°07′39″N 00°26′10″E,53.164,0.452,Operational,2006,2009,£300m,GLID Wind Farms Topco Ltd,Centrica Renewable Energy,Blackrock Investment Management; UK Green Investment Bank,Siemens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
